Asset,Start,End,Years,CAGR,AnnMu,AnnVol
AAPL,1999-01-31,2024-12-31,25.916495550992472,0.2950494266985795,0.3408583937120553,0.3878638575069894
JPM,1999-01-31,2024-12-31,25.916495550992472,0.09203854672897926,0.1333601162154058,0.2981139861830016
HON,1999-01-31,2024-12-31,25.916495550992472,0.09624675415539263,0.13285493494470474,0.28198284197435414
NOC,1999-01-31,2024-12-31,25.916495550992472,0.14195534127167186,0.1599802709626791,0.23066491141086565
MSFT,1999-01-31,2024-12-31,25.916495550992472,0.11231854395100394,0.14678348222270013,0.28382291668709725
JNJ,1999-01-31,2024-12-31,25.916495550992472,0.07496106597918195,0.08692959310564993,0.16986004382749906
PG,1999-01-31,2024-12-31,25.916495550992472,0.07900097317907773,0.09296999658356181,0.17838083636844723
SPY,1999-01-31,2024-12-31,25.916495550992472,0.07976421243131204,0.08862653421136824,0.1518643262483288
IWM,2000-05-31,2024-12-31,24.58590006844627,0.07848669260917607,0.09650020029217551,0.2021678370711876
QQQ,1999-03-31,2024-12-31,25.754962354551676,0.09977361493845205,0.12351288020231364,0.23467356506208187
ACWI,2008-03-31,2024-12-31,16.752908966461327,0.073893858594279,0.0860791339784527,0.16948364470283353
TLT,2002-07-31,2024-12-31,22.420260095824776,0.03715715134644659,0.04583333630865232,0.1369735003107918
GLD,2004-11-30,2024-12-31,20.084873374401095,0.08692157414810131,0.09742544566133396,0.16659840305138596
VNQ,2004-09-30,2024-12-31,20.251882272416154,0.07394784487877937,0.09669351318840093,0.22041402031125187
UUP,2007-03-31,2024-12-31,17.754962354551676,0.018655031419765766,0.021505967966800977,0.07771729000353596
